image_name,generation,best_rectangle_count
Acer_campestre.npy,0,1458
Acer_campestre.npy,1,1458
Acer_campestre.npy,2,1458
Acer_campestre.npy,3,1458
Acer_campestre.npy,4,1458
Acer_campestre.npy,5,1458
Acer_campestre.npy,6,1458
Acer_campestre.npy,7,1458
Acer_campestre.npy,8,1458
Acer_campestre.npy,9,1458
Acer_campestre.npy,10,1458
Acer_campestre.npy,11,1458
Acer_campestre.npy,12,1458
Acer_campestre.npy,13,1458
Acer_campestre.npy,14,1458
Acer_campestre.npy,15,1458
Acer_campestre.npy,16,1458
Acer_campestre.npy,17,1454
Acer_campestre.npy,18,1454
Acer_campestre.npy,19,1454
Acer_campestre.npy,20,1454
Acer_campestre.npy,21,1454
Acer_campestre.npy,22,1454
Acer_campestre.npy,23,1454
Acer_campestre.npy,24,1454
Acer_campestre.npy,25,1454
Acer_campestre.npy,26,1454
Acer_campestre.npy,27,1454
Acer_campestre.npy,28,1454
Acer_campestre.npy,29,1454
Acer_campestre.npy,30,1454
Acer_campestre.npy,31,1454
Acer_campestre.npy,32,1454
Acer_campestre.npy,33,1454
Acer_campestre.npy,34,1454
Acer_campestre.npy,35,1454
Acer_campestre.npy,36,1454
Acer_campestre.npy,37,1454
Acer_campestre.npy,38,1454
Acer_campestre.npy,39,1454
Acer_campestre.npy,40,1454
Acer_campestre.npy,41,1454
Acer_campestre.npy,42,1454
Acer_ginnala.npy,0,705
Acer_ginnala.npy,1,705
Acer_ginnala.npy,2,705
Acer_ginnala.npy,3,705
Acer_ginnala.npy,4,705
Acer_ginnala.npy,5,705
Acer_ginnala.npy,6,705
Acer_ginnala.npy,7,705
Acer_ginnala.npy,8,705
Acer_ginnala.npy,9,705
Acer_ginnala.npy,10,705
Acer_ginnala.npy,11,704
Acer_ginnala.npy,12,704
Acer_ginnala.npy,13,704
Acer_ginnala.npy,14,704
Acer_ginnala.npy,15,704
Acer_ginnala.npy,16,704
Acer_ginnala.npy,17,704
Acer_ginnala.npy,18,704
Acer_ginnala.npy,19,704
Acer_ginnala.npy,20,697
Acer_ginnala.npy,21,697
Acer_ginnala.npy,22,697
Acer_ginnala.npy,23,697
Acer_ginnala.npy,24,697
Acer_ginnala.npy,25,697
Acer_ginnala.npy,26,697
Acer_ginnala.npy,27,697
Acer_ginnala.npy,28,697
Acer_ginnala.npy,29,697
Acer_ginnala.npy,30,697
Acer_ginnala.npy,31,697
Acer_ginnala.npy,32,697
Acer_ginnala.npy,33,697
Acer_ginnala.npy,34,697
Acer_ginnala.npy,35,697
Acer_ginnala.npy,36,697
Acer_ginnala.npy,37,697
Acer_ginnala.npy,38,697
Acer_ginnala.npy,39,697
Acer_ginnala.npy,40,697
Acer_ginnala.npy,41,697
Acer_ginnala.npy,42,697
Acer_ginnala.npy,43,697
Acer_ginnala.npy,44,697
Acer_ginnala.npy,45,697
Acer_monspessulanum.npy,0,355
Acer_monspessulanum.npy,1,355
Acer_monspessulanum.npy,2,355
Acer_monspessulanum.npy,3,355
Acer_monspessulanum.npy,4,355
Acer_monspessulanum.npy,5,355
Acer_monspessulanum.npy,6,355
Acer_monspessulanum.npy,7,355
Acer_monspessulanum.npy,8,355
Acer_monspessulanum.npy,9,355
Acer_monspessulanum.npy,10,355
Acer_monspessulanum.npy,11,355
Acer_monspessulanum.npy,12,355
Acer_monspessulanum.npy,13,355
Acer_monspessulanum.npy,14,355
Acer_monspessulanum.npy,15,355
Acer_monspessulanum.npy,16,355
Acer_monspessulanum.npy,17,355
Acer_monspessulanum.npy,18,355
Acer_monspessulanum.npy,19,355
Acer_monspessulanum.npy,20,355
Acer_monspessulanum.npy,21,355
Acer_monspessulanum.npy,22,355
Acer_monspessulanum.npy,23,355
Acer_monspessulanum.npy,24,355
Acer_monspessulanum.npy,25,355
Acer_negundo.npy,0,607
Acer_negundo.npy,1,607
Acer_negundo.npy,2,607
Acer_negundo.npy,3,607
Acer_negundo.npy,4,607
Acer_negundo.npy,5,607
Acer_negundo.npy,6,607
Acer_negundo.npy,7,607
Acer_negundo.npy,8,607
Acer_negundo.npy,9,607
Acer_negundo.npy,10,607
Acer_negundo.npy,11,607
Acer_negundo.npy,12,607
Acer_negundo.npy,13,607
Acer_negundo.npy,14,607
Acer_negundo.npy,15,607
Acer_negundo.npy,16,607
Acer_negundo.npy,17,607
Acer_negundo.npy,18,607
Acer_negundo.npy,19,607
Acer_negundo.npy,20,607
Acer_negundo.npy,21,607
Acer_negundo.npy,22,607
Acer_negundo.npy,23,607
Acer_negundo.npy,24,607
Acer_negundo.npy,25,607
Acer_palmatum.npy,0,522
Acer_palmatum.npy,1,522
Acer_palmatum.npy,2,522
Acer_palmatum.npy,3,522
Acer_palmatum.npy,4,522
Acer_palmatum.npy,5,522
Acer_palmatum.npy,6,522
Acer_palmatum.npy,7,522
Acer_palmatum.npy,8,522
Acer_palmatum.npy,9,522
Acer_palmatum.npy,10,522
Acer_palmatum.npy,11,522
Acer_palmatum.npy,12,522
Acer_palmatum.npy,13,522
Acer_palmatum.npy,14,522
